"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","SOM_perc","BD_reported_g_cm3","DOI"
"20","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.19,0.2,"EA",3.74,18.94,NA,"https://doi.org/10.17882/73534"
"21","Guerra et al 2022","RG 4","Northwestern Adriatic Sea",4,"Impact",44.47689,12.24576,"direct from dataset","1","Italy","2008",0,0.01,"EA",2.95,19.23,NA,"https://doi.org/10.17882/73534"
"22","Guerra et al 2022","RG 4","Northwestern Adriatic Sea",4,"Impact",44.47689,12.24576,"direct from dataset","1","Italy","2008",0.01,0.02,"EA",2.65,16.98,NA,"https://doi.org/10.17882/73534"
"23","Guerra et al 2022","RG 4","Northwestern Adriatic Sea",4,"Impact",44.47689,12.24576,"direct from dataset","1","Italy","2008",0.02,0.03,"EA",2.99,17.38,NA,"https://doi.org/10.17882/73534"
"24","Guerra et al 2022","RG 4","Northwestern Adriatic Sea",4,"Impact",44.47689,12.24576,"direct from dataset","1","Italy","2008",0.03,0.04,"EA",2.91,17.93,NA,"https://doi.org/10.17882/73534"
"25","Guerra et al 2022","RG 4","Northwestern Adriatic Sea",4,"Impact",44.47689,12.24576,"direct from dataset","1","Italy","2008",0.04,0.05,"EA",3,18.49,NA,"https://doi.org/10.17882/73534"
"26","Guerra et al 2022","RG 4","Northwestern Adriatic Sea",4,"Impact",44.47689,12.24576,"direct from dataset","1","Italy","2008",0.05,0.06,"EA",3.12,19.03,NA,"https://doi.org/10.17882/73534"
"27","Guerra et al 2022","RG 4","Northwestern Adriatic Sea",4,"Impact",44.47689,12.24576,"direct from dataset","1","Italy","2008",0.06,0.07,"EA",2.99,18.67,NA,"https://doi.org/10.17882/73534"
"28","Guerra et al 2022","RG 4","Northwestern Adriatic Sea",4,"Impact",44.47689,12.24576,"direct from dataset","1","Italy","2008",0.07,0.08,"EA",2.83,18.58,NA,"https://doi.org/10.17882/73534"
"29","Guerra et al 2022","RG 4","Northwestern Adriatic Sea",4,"Impact",44.47689,12.24576,"direct from dataset","1","Italy","2008",0.08,0.09,"EA",2.75,18.91,NA,"https://doi.org/10.17882/73534"
"30","Guerra et al 2022","RG 4","Northwestern Adriatic Sea",4,"Impact",44.47689,12.24576,"direct from dataset","1","Italy","2008",0.09,0.1,"EA",2.53,19.7,NA,"https://doi.org/10.17882/73534"
"31","Guerra et al 2022","RG 4","Northwestern Adriatic Sea",4,"Impact",44.47689,12.24576,"direct from dataset","1","Italy","2008",0.1,0.11,"EA",2.74,18.48,NA,"https://doi.org/10.17882/73534"
"32","Guerra et al 2022","RG 4","Northwestern Adriatic Sea",4,"Impact",44.47689,12.24576,"direct from dataset","1","Italy","2008",0.11,0.12,"EA",2.8,17.6,NA,"https://doi.org/10.17882/73534"
"33","Guerra et al 2022","RG 4","Northwestern Adriatic Sea",4,"Impact",44.47689,12.24576,"direct from dataset","1","Italy","2008",0.12,0.13,"EA",2.93,17.9,NA,"https://doi.org/10.17882/73534"
"34","Guerra et al 2022","RG 4","Northwestern Adriatic Sea",4,"Impact",44.47689,12.24576,"direct from dataset","1","Italy","2008",0.13,0.14,"EA",3.11,18.04,NA,"https://doi.org/10.17882/73534"
"35","Guerra et al 2022","RG 4","Northwestern Adriatic Sea",4,"Impact",44.47689,12.24576,"direct from dataset","1","Italy","2008",0.14,0.15,"EA",3.14,17.74,NA,"https://doi.org/10.17882/73534"
"36","Guerra et al 2022","RG 4","Northwestern Adriatic Sea",4,"Impact",44.47689,12.24576,"direct from dataset","1","Italy","2008",0.15,0.16,"EA",3.35,17.98,NA,"https://doi.org/10.17882/73534"
"37","Guerra et al 2022","RG 4","Northwestern Adriatic Sea",4,"Impact",44.47689,12.24576,"direct from dataset","1","Italy","2008",0.16,0.17,"EA",3.4,17.57,NA,"https://doi.org/10.17882/73534"
"38","Guerra et al 2022","RG 4","Northwestern Adriatic Sea",4,"Impact",44.47689,12.24576,"direct from dataset","1","Italy","2008",0.17,0.18,"EA",3.47,18.13,NA,"https://doi.org/10.17882/73534"
"39","Guerra et al 2022","RG 4","Northwestern Adriatic Sea",4,"Impact",44.47689,12.24576,"direct from dataset","1","Italy","2008",0.18,0.19,"EA",3.94,18.49,NA,"https://doi.org/10.17882/73534"
"40","Guerra et al 2022","RG 4","Northwestern Adriatic Sea",4,"Impact",44.47689,12.24576,"direct from dataset","1","Italy","2008",0.19,0.2,"EA",2.71,18.26,NA,"https://doi.org/10.17882/73534"
"41","Guerra et al 2022","RG 1","Northwestern Adriatic Sea",1,"Saltmarsh",44.5136,12.26054,"direct from dataset","1","Italy","2008",0,0.01,"EA",1.38,10.03,NA,"https://doi.org/10.17882/73534"
"42","Guerra et al 2022","RG 1","Northwestern Adriatic Sea",1,"Saltmarsh",44.5136,12.26054,"direct from dataset","1","Italy","2008",0.01,0.02,"EA",1.23,9.79,NA,"https://doi.org/10.17882/73534"
"43","Guerra et al 2022","RG 1","Northwestern Adriatic Sea",1,"Saltmarsh",44.5136,12.26054,"direct from dataset","1","Italy","2008",0.02,0.03,"EA",1,7.39,NA,"https://doi.org/10.17882/73534"
"44","Guerra et al 2022","RG 1","Northwestern Adriatic Sea",1,"Saltmarsh",44.5136,12.26054,"direct from dataset","1","Italy","2008",0.03,0.04,"EA",0.82,6.77,NA,"https://doi.org/10.17882/73534"
"45","Guerra et al 2022","RG 1","Northwestern Adriatic Sea",1,"Saltmarsh",44.5136,12.26054,"direct from dataset","1","Italy","2008",0.04,0.05,"EA",0.76,6.25,NA,"https://doi.org/10.17882/73534"
"46","Guerra et al 2022","RG 1","Northwestern Adriatic Sea",1,"Saltmarsh",44.5136,12.26054,"direct from dataset","1","Italy","2008",0.05,0.06,"EA",0.7,5.88,NA,"https://doi.org/10.17882/73534"
"47","Guerra et al 2022","RG 1","Northwestern Adriatic Sea",1,"Saltmarsh",44.5136,12.26054,"direct from dataset","1","Italy","2008",0.06,0.07,"EA",0.6,5.03,NA,"https://doi.org/10.17882/73534"
"48","Guerra et al 2022","RG 1","Northwestern Adriatic Sea",1,"Saltmarsh",44.5136,12.26054,"direct from dataset","1","Italy","2008",0.07,0.08,"EA",0.52,4.77,NA,"https://doi.org/10.17882/73534"
"49","Guerra et al 2022","RG 1","Northwestern Adriatic Sea",1,"Saltmarsh",44.5136,12.26054,"direct from dataset","1","Italy","2008",0.08,0.09,"EA",0.49,4.66,NA,"https://doi.org/10.17882/73534"
"50","Guerra et al 2022","RG 1","Northwestern Adriatic Sea",1,"Saltmarsh",44.5136,12.26054,"direct from dataset","1","Italy","2008",0.09,0.1,"EA",0.48,4.57,NA,"https://doi.org/10.17882/73534"
"51","Guerra et al 2022","RG 1","Northwestern Adriatic Sea",1,"Saltmarsh",44.5136,12.26054,"direct from dataset","1","Italy","2008",0.1,0.11,"EA",0.62,4.93,NA,"https://doi.org/10.17882/73534"
"52","Guerra et al 2022","RG 1","Northwestern Adriatic Sea",1,"Saltmarsh",44.5136,12.26054,"direct from dataset","1","Italy","2008",0.11,0.12,"EA",0.46,4.77,NA,"https://doi.org/10.17882/73534"
"53","Guerra et al 2022","RG 1","Northwestern Adriatic Sea",1,"Saltmarsh",44.5136,12.26054,"direct from dataset","1","Italy","2008",0.12,0.14,"EA",0.42,5.1,NA,"https://doi.org/10.17882/73534"
"54","Guerra et al 2022","RG 1","Northwestern Adriatic Sea",1,"Saltmarsh",44.5136,12.26054,"direct from dataset","1","Italy","2008",0.14,0.16,"EA",0.4,4.62,NA,"https://doi.org/10.17882/73534"
"55","Guerra et al 2022","RG 1","Northwestern Adriatic Sea",1,"Saltmarsh",44.5136,12.26054,"direct from dataset","1","Italy","2008",0.16,0.18,"EA",0.44,4.91,NA,"https://doi.org/10.17882/73534"
"56","Guerra et al 2022","RG 1","Northwestern Adriatic Sea",1,"Saltmarsh",44.5136,12.26054,"direct from dataset","1","Italy","2008",0.18,0.2,"EA",0.49,6.51,NA,"https://doi.org/10.17882/73534"
"57","Guerra et al 2022","RG 1","Northwestern Adriatic Sea",1,"Saltmarsh",44.5136,12.26054,"direct from dataset","1","Italy","2008",0.2,0.22,"EA",0.44,5.96,NA,"https://doi.org/10.17882/73534"
"58","Guerra et al 2022","RG 1","Northwestern Adriatic Sea",1,"Saltmarsh",44.5136,12.26054,"direct from dataset","1","Italy","2008",0.22,0.24,"EA",0.38,5.5,NA,"https://doi.org/10.17882/73534"
"59","Guerra et al 2022","RG 2","Northwestern Adriatic Sea",2,"Saltmarsh",44.51195,12.26281,"direct from dataset","1","Italy","2008",0,0.01,"EA",1.17,9.7,NA,"https://doi.org/10.17882/73534"
"60","Guerra et al 2022","RG 2","Northwestern Adriatic Sea",2,"Saltmarsh",44.51195,12.26281,"direct from dataset","1","Italy","2008",0.01,0.02,"EA",1.16,10.43,NA,"https://doi.org/10.17882/73534"
"61","Guerra et al 2022","RG 2","Northwestern Adriatic Sea",2,"Saltmarsh",44.51195,12.26281,"direct from dataset","1","Italy","2008",0.02,0.03,"EA",1.15,10.31,NA,"https://doi.org/10.17882/73534"
"62","Guerra et al 2022","RG 2","Northwestern Adriatic Sea",2,"Saltmarsh",44.51195,12.26281,"direct from dataset","1","Italy","2008",0.03,0.04,"EA",1.05,10.28,NA,"https://doi.org/10.17882/73534"
"63","Guerra et al 2022","RG 2","Northwestern Adriatic Sea",2,"Saltmarsh",44.51195,12.26281,"direct from dataset","1","Italy","2008",0.04,0.05,"EA",1.13,10.28,NA,"https://doi.org/10.17882/73534"
"64","Guerra et al 2022","RG 2","Northwestern Adriatic Sea",2,"Saltmarsh",44.51195,12.26281,"direct from dataset","1","Italy","2008",0.05,0.06,"EA",1.31,10.41,NA,"https://doi.org/10.17882/73534"
"65","Guerra et al 2022","RG 2","Northwestern Adriatic Sea",2,"Saltmarsh",44.51195,12.26281,"direct from dataset","1","Italy","2008",0.06,0.07,"EA",1.21,10.32,NA,"https://doi.org/10.17882/73534"
"66","Guerra et al 2022","RG 2","Northwestern Adriatic Sea",2,"Saltmarsh",44.51195,12.26281,"direct from dataset","1","Italy","2008",0.07,0.08,"EA",1.11,0.89,NA,"https://doi.org/10.17882/73534"
"67","Guerra et al 2022","RG 2","Northwestern Adriatic Sea",2,"Saltmarsh",44.51195,12.26281,"direct from dataset","1","Italy","2008",0.08,0.09,"EA",1.12,9.72,NA,"https://doi.org/10.17882/73534"
"68","Guerra et al 2022","RG 2","Northwestern Adriatic Sea",2,"Saltmarsh",44.51195,12.26281,"direct from dataset","1","Italy","2008",0.09,0.1,"EA",0.84,9.52,NA,"https://doi.org/10.17882/73534"
"69","Guerra et al 2022","RG 2","Northwestern Adriatic Sea",2,"Saltmarsh",44.51195,12.26281,"direct from dataset","1","Italy","2008",0.1,0.11,"EA",0.56,8.46,NA,"https://doi.org/10.17882/73534"
"70","Guerra et al 2022","RG 2","Northwestern Adriatic Sea",2,"Saltmarsh",44.51195,12.26281,"direct from dataset","1","Italy","2008",0.11,0.12,"EA",0.28,6.9,NA,"https://doi.org/10.17882/73534"
"71","Guerra et al 2022","RG 2","Northwestern Adriatic Sea",2,"Saltmarsh",44.51195,12.26281,"direct from dataset","1","Italy","2008",0.12,0.13,"EA",0.24,6.86,NA,"https://doi.org/10.17882/73534"
"72","Guerra et al 2022","RG 2","Northwestern Adriatic Sea",2,"Saltmarsh",44.51195,12.26281,"direct from dataset","1","Italy","2008",0.13,0.14,"EA",0.22,5.44,NA,"https://doi.org/10.17882/73534"
"73","Guerra et al 2022","RG 2","Northwestern Adriatic Sea",2,"Saltmarsh",44.51195,12.26281,"direct from dataset","1","Italy","2008",0.14,0.15,"EA",0.23,4.78,NA,"https://doi.org/10.17882/73534"
"74","Guerra et al 2022","RG 2","Northwestern Adriatic Sea",2,"Saltmarsh",44.51195,12.26281,"direct from dataset","1","Italy","2008",0.15,0.16,"EA",0.45,4.59,NA,"https://doi.org/10.17882/73534"
"75","Guerra et al 2022","RG 2","Northwestern Adriatic Sea",2,"Saltmarsh",44.51195,12.26281,"direct from dataset","1","Italy","2008",0.16,0.17,"EA",0.29,4.24,NA,"https://doi.org/10.17882/73534"
"76","Guerra et al 2022","RG 2","Northwestern Adriatic Sea",2,"Saltmarsh",44.51195,12.26281,"direct from dataset","1","Italy","2008",0.17,0.18,"EA",0.32,3.91,NA,"https://doi.org/10.17882/73534"
"77","Guerra et al 2022","RG 2","Northwestern Adriatic Sea",2,"Saltmarsh",44.51195,12.26281,"direct from dataset","1","Italy","2008",0.18,0.19,"EA",0.44,3.32,NA,"https://doi.org/10.17882/73534"
"78","Guerra et al 2022","RG 2","Northwestern Adriatic Sea",2,"Saltmarsh",44.51195,12.26281,"direct from dataset","1","Italy","2008",0.19,0.2,"EA",0.59,2.97,NA,"https://doi.org/10.17882/73534"
