month,day,Source,Site_name,Site,Plot,Habitat_type,Latitude,Longitude,accuracy_flag,accuracy_code,Country,Year_collected,U_depth_m,L_depth_m,Method,OC_perc,BD_reported_g_cm3,DOI
9,12,Adame et al 2013,MFA Tul1S1,Sian kaan Tular 1,Tul1S1,Salt marsh,19.79358333,-87.5743,direct from dataset,1,Mexico,2011,0,0.15,combined LOI EA,0.78,0.77,https://doi.org/10.1371/journal.pone.0056569
9,12,Adame et al 2013,MFA Tul1S1,Sian kaan Tular 1,Tul1S1,Salt marsh,19.79358333,-87.5743,direct from dataset,1,Mexico,2011,0.15,0.3,combined LOI EA,2.77,0.6,https://doi.org/10.1371/journal.pone.0056569
9,12,Adame et al 2013,MFA Tul1S1,Sian kaan Tular 1,Tul1S1,Salt marsh,19.79358333,-87.5743,direct from dataset,1,Mexico,2011,0.3,0.5,combined LOI EA,12.54,0.54,https://doi.org/10.1371/journal.pone.0056569
9,12,Adame et al 2013,MFA Tul1S1,Sian kaan Tular 1,Tul1S1,Salt marsh,19.79358333,-87.5743,direct from dataset,1,Mexico,2011,0.5,0.81,combined LOI EA,1.73,0.8,https://doi.org/10.1371/journal.pone.0056569
9,12,Adame et al 2013,MFA Tul1S2,Sian kaan Tular 1,Tul1S2,Salt marsh,19.79363333,-87.57433333,direct from dataset,1,Mexico,2011,0,0.15,combined LOI EA,9.17,0.3,https://doi.org/10.1371/journal.pone.0056569
9,12,Adame et al 2013,MFA Tul1S2,Sian kaan Tular 1,Tul1S2,Salt marsh,19.79363333,-87.57433333,direct from dataset,1,Mexico,2011,0.15,0.3,combined LOI EA,12.4,0.3,https://doi.org/10.1371/journal.pone.0056569
9,12,Adame et al 2013,MFA Tul1S2,Sian kaan Tular 1,Tul1S2,Salt marsh,19.79363333,-87.57433333,direct from dataset,1,Mexico,2011,0.3,0.5,combined LOI EA,27.68,0.2,https://doi.org/10.1371/journal.pone.0056569
9,12,Adame et al 2013,MFA Tul1S2,Sian kaan Tular 1,Tul1S2,Salt marsh,19.79363333,-87.57433333,direct from dataset,1,Mexico,2011,0.5,1,combined LOI EA,4.46,0.54,https://doi.org/10.1371/journal.pone.0056569
9,12,Adame et al 2013,MFA Tul1S3,Sian kaan Tular 1,Tul1S3,Salt marsh,19.79373333,-87.57438333,direct from dataset,1,Mexico,2011,0,0.15,combined LOI EA,14.56,0.1,https://doi.org/10.1371/journal.pone.0056569
9,12,Adame et al 2013,MFA Tul1S3,Sian kaan Tular 1,Tul1S3,Salt marsh,19.79373333,-87.57438333,direct from dataset,1,Mexico,2011,0.15,0.3,combined LOI EA,2.3,0.6,https://doi.org/10.1371/journal.pone.0056569
9,12,Adame et al 2013,MFA Tul1S3,Sian kaan Tular 1,Tul1S3,Salt marsh,19.79373333,-87.57438333,direct from dataset,1,Mexico,2011,0.3,0.5,combined LOI EA,4.75,0.62,https://doi.org/10.1371/journal.pone.0056569
9,12,Adame et al 2013,MFA Tul1S3,Sian kaan Tular 1,Tul1S3,Salt marsh,19.79373333,-87.57438333,direct from dataset,1,Mexico,2011,0.5,0.565,combined LOI EA,3.17,0.7,https://doi.org/10.1371/journal.pone.0056569
9,12,Adame et al 2013,MFA Tul1S4,Sian kaan Tular 1,Tul1S4,Salt marsh,19.793816669999998,-87.57441667,direct from dataset,1,Mexico,2011,0,0.15,combined LOI EA,22.3,0.14,https://doi.org/10.1371/journal.pone.0056569
9,12,Adame et al 2013,MFA Tul1S4,Sian kaan Tular 1,Tul1S4,Salt marsh,19.793816669999998,-87.57441667,direct from dataset,1,Mexico,2011,0.15,0.3,combined LOI EA,1.66,0.61,https://doi.org/10.1371/journal.pone.0056569
9,12,Adame et al 2013,MFA Tul1S4,Sian kaan Tular 1,Tul1S4,Salt marsh,19.793816669999998,-87.57441667,direct from dataset,1,Mexico,2011,0.3,0.5,combined LOI EA,5.02,0.7,https://doi.org/10.1371/journal.pone.0056569
9,12,Adame et al 2013,MFA Tul1S4,Sian kaan Tular 1,Tul1S4,Salt marsh,19.793816669999998,-87.57441667,direct from dataset,1,Mexico,2011,0.5,1,combined LOI EA,6.17,0.4,https://doi.org/10.1371/journal.pone.0056569
9,12,Adame et al 2013,MFA Tul1S5,Sian kaan Tular 1,Tul1S5,Salt marsh,19.79391667,-87.57445,direct from dataset,1,Mexico,2011,0,0.15,combined LOI EA,27.77,0.12,https://doi.org/10.1371/journal.pone.0056569
9,12,Adame et al 2013,MFA Tul1S5,Sian kaan Tular 1,Tul1S5,Salt marsh,19.79391667,-87.57445,direct from dataset,1,Mexico,2011,0.15,0.3,combined LOI EA,7.27,0.33,https://doi.org/10.1371/journal.pone.0056569
9,12,Adame et al 2013,MFA Tul1S5,Sian kaan Tular 1,Tul1S5,Salt marsh,19.79391667,-87.57445,direct from dataset,1,Mexico,2011,0.3,0.5,combined LOI EA,15.98,0.59,https://doi.org/10.1371/journal.pone.0056569
9,12,Adame et al 2013,MFA Tul1S5,Sian kaan Tular 1,Tul1S5,Salt marsh,19.79391667,-87.57445,direct from dataset,1,Mexico,2011,0.5,1,combined LOI EA,6.34,0.61,https://doi.org/10.1371/journal.pone.0056569
9,12,Adame et al 2013,MFA Tul1S6,Sian kaan Tular 1,Tul1S6,Salt marsh,19.794,-87.5745,direct from dataset,1,Mexico,2011,0,0.15,combined LOI EA,12.78,0.32,https://doi.org/10.1371/journal.pone.0056569
9,12,Adame et al 2013,MFA Tul1S6,Sian kaan Tular 1,Tul1S6,Salt marsh,19.794,-87.5745,direct from dataset,1,Mexico,2011,0.15,0.3,combined LOI EA,4.35,0.63,https://doi.org/10.1371/journal.pone.0056569
9,12,Adame et al 2013,MFA Tul1S6,Sian kaan Tular 1,Tul1S6,Salt marsh,19.794,-87.5745,direct from dataset,1,Mexico,2011,0.3,0.5,combined LOI EA,11.5,0.52,https://doi.org/10.1371/journal.pone.0056569
9,12,Adame et al 2013,MFA Tul1S6,Sian kaan Tular 1,Tul1S6,Salt marsh,19.794,-87.5745,direct from dataset,1,Mexico,2011,0.5,0.95,combined LOI EA,2.29,0.49,https://doi.org/10.1371/journal.pone.0056569
