study_id,site_id,plot_id,plot_area,longitude,latitude,year,month,day,harvest_or_allometry,genus,species,alive_or_dead,above_or_belowground,allometric_eq_present,plant_measurements_present
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,1963.5,-46.19775,-23.90587,2012,11,28,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,1963.5,-46.19775,-23.90587,2012,11,28,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,1963.5,-46.19775,-23.90587,2012,11,28,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,1963.5,-46.19775,-23.90587,2012,11,28,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,1963.5,-46.19775,-23.90587,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,1963.5,-46.19775,-23.90587,2012,11,28,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,1963.5,-46.19775,-23.90587,2012,11,28,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,1963.5,-46.19775,-23.90587,2012,11,28,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,1963.5,-46.19775,-23.90587,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,1963.5,-46.19775,-23.90587,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,1963.5,-46.19775,-23.90587,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,1963.5,-46.19775,-23.90587,2012,11,28,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,1963.5,-46.19775,-23.90587,2012,11,28,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,1963.5,-46.19775,-23.90587,2012,11,28,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,1963.5,-46.19775,-23.90587,2012,11,28,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,1963.5,-46.19775,-23.90587,2012,11,28,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_1,1963.5,-46.19775,-23.90587,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_2,1963.5,-46.1981,-23.90485,2012,11,28,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,314.2,-46.15034,-23.85614,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,314.2,-46.15034,-23.85614,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,314.2,-46.15034,-23.85614,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,314.2,-46.15034,-23.85614,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,314.2,-46.15034,-23.85614,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,314.2,-46.15034,-23.85614,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,314.2,-46.15034,-23.85614,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,314.2,-46.15034,-23.85614,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,314.2,-46.15034,-23.85614,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,314.2,-46.15034,-23.85614,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,314.2,-46.15034,-23.85614,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,314.2,-46.15034,-23.85614,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,314.2,-46.15034,-23.85614,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,314.2,-46.15034,-23.85614,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,314.2,-46.15034,-23.85614,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,314.2,-46.15034,-23.85614,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,314.2,-46.15034,-23.85614,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,314.2,-46.15034,-23.85614,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,314.2,-46.15034,-23.85614,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,314.2,-46.15034,-23.85614,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,314.2,-46.15034,-23.85614,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,314.2,-46.15034,-23.85614,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,314.2,-46.15034,-23.85614,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,314.2,-46.15034,-23.85614,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,314.2,-46.15034,-23.85614,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,314.2,-46.15034,-23.85614,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,314.2,-46.15034,-23.85614,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,314.2,-46.15034,-23.85614,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil_South,Brazil_South_3,314.2,-46.15034,-23.85614,2012,11,28,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Rhizophora,mangle,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Laguncularia,racemosa,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Laguncularia,racemosa,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
Simard_et_al_2019,south_america_Brazil,Brazil_1ABCD,400,-46.710333,-0.933167,2012,11,20,allometry,Avicennia,germinans,alive,aboveground,no,yes
