study_id,site_id,core_id,species_code,code_type,habitat
Weston_et_al_2023,Kennebec,KEN_1,Spartina patens,Genus,NA
Weston_et_al_2023,Kennebec,KEN_1,Distichlis spicata,Genus,NA
Weston_et_al_2023,Kennebec,KEN_7,Spartina patens,Genus,NA
Weston_et_al_2023,Kennebec,KEN_7,Distichlis spicata,Genus,NA
Weston_et_al_2023,Kennebec,KEN_8,Spartina patens,Genus,NA
Weston_et_al_2023,Kennebec,KEN_8,Distichlis spicata,Genus,NA
Weston_et_al_2023,Plum Island Sound,PIE_1,Spartina patens,Genus,NA
Weston_et_al_2023,Plum Island Sound,PIE_2,Spartina patens,Genus,NA
Weston_et_al_2023,Plum Island Sound,PIE_7,Spartina patens,Genus,NA
Weston_et_al_2023,Plum Island Sound,PIE_8,Spartina patens,Genus,NA
Weston_et_al_2023,Connecticut,CON_1,Spartina patens,Genus,NA
Weston_et_al_2023,Connecticut,CON_1,Distichlis spicata,Genus,NA
Weston_et_al_2023,Connecticut,CON_2,Spartina patens,Genus,NA
Weston_et_al_2023,Connecticut,CON_2,Distichlis spicata,Genus,NA
Weston_et_al_2023,Connecticut,CON_8,Spartina patens,Genus,NA
Weston_et_al_2023,Connecticut,CON_8,Distichlis spicata,Genus,NA
Weston_et_al_2023,Delaware,DEL_3,Spartina alterniflora,Genus,NA
Weston_et_al_2023,Delaware,DEL_5,Spartina alterniflora,Genus,NA
Weston_et_al_2023,Delaware,DEL_9,Spartina alterniflora,Genus,NA
Weston_et_al_2023,York,YRK_2,Spartina alterniflora,Genus,NA
Weston_et_al_2023,York,YRK_3,Spartina alterniflora,Genus,NA
Weston_et_al_2023,York,YRK_5,Spartina alterniflora,Genus,NA
Weston_et_al_2023,James,JMS_2,Spartina alterniflora,Genus,NA
Weston_et_al_2023,James,JMS_3,Spartina alterniflora,Genus,NA
Weston_et_al_2023,James,JMS_4,Spartina alterniflora,Genus,NA
Weston_et_al_2023,Cape Fear,CPF_2,Spartina alterniflora,Genus,NA
Weston_et_al_2023,Cape Fear,CPF_4,Spartina alterniflora,Genus,NA
Weston_et_al_2023,Cape Fear,CPF_6,Spartina alterniflora,Genus,NA
Weston_et_al_2023,Cape Fear,CPF_7,Spartina alterniflora,Genus,NA
Weston_et_al_2023,Edisto,EDS_1,Spartina alterniflora,Genus,NA
Weston_et_al_2023,Edisto,EDS_5,Spartina alterniflora,Genus,NA
Weston_et_al_2023,Edisto,EDS_9,Spartina alterniflora,Genus,NA
Weston_et_al_2023,Edisto,EDS_10,Spartina alterniflora,Genus,NA
Weston_et_al_2023,Altamaha,ALT_3,Spartina alterniflora,Genus,NA
Weston_et_al_2023,Altamaha,ALT_5,Spartina alterniflora,Genus,NA
Weston_et_al_2023,Altamaha,ALT_6,Spartina alterniflora,Genus,NA
Weston_et_al_2023,Altamaha,ALT_9,Spartina alterniflora,Genus,NA
