study_id,core_id,species_code,site_id
Craft_2007,Altamaha_River_Site_7_Levee,Zizaniopsis milaceae,NA
Craft_2007,Altamaha_River_Site_7_Plain,Zizaniopsis milaceae,NA
Craft_2007,Altamaha_River_Site_8_Levee,Spartina cynosuroides,NA
Craft_2007,Altamaha_River_Site_8_Levee,Juncus roemerianus,NA
Craft_2007,Altamaha_River_Site_8_Plain,Spartina cynosuroides,NA
Craft_2007,Altamaha_River_Site_8_Plain,Juncus roemerianus,NA
Craft_2007,Altamaha_River_Site_9_Levee,Spartina alterniflora,NA
Craft_2007,Altamaha_River_Site_9_Levee,Juncus roemerianus,NA
Craft_2007,Altamaha_River_Site_9_Plain,Spartina alterniflora,NA
Craft_2007,Altamaha_River_Site_9_Plain,Juncus roemerianus,NA
Craft_2007,Doboy_Sound_Site_4_Levee,Spartina alterniflora,NA
Craft_2007,Doboy_Sound_Site_4_Plain,Spartina alterniflora,NA
Craft_2007,Doboy_Sound_Site_5_Levee,Spartina alterniflora,NA
Craft_2007,Doboy_Sound_Site_5_Plain,Spartina alterniflora,NA
Craft_2007,Doboy_Sound_Site_6_Levee,Spartina alterniflora,NA
Craft_2007,Doboy_Sound_Site_6_Plain,Spartina alterniflora,NA
Craft_2007,Sapelo_River_Site_1_Levee,Spartina alterniflora,NA
Craft_2007,Sapelo_River_Site_1_Levee,Juncus roemerianus,NA
Craft_2007,Sapelo_River_Site_1_Plain,Spartina alterniflora,NA
Craft_2007,Sapelo_River_Site_1_Plain,Juncus roemerianus,NA
Craft_2007,Sapelo_River_Site_2_Levee,Spartina alterniflora,NA
Craft_2007,Sapelo_River_Site_2_Plain,Spartina alterniflora,NA
Craft_2007,Sapelo_River_Site_3_Levee,Spartina alterniflora,NA
Craft_2007,Sapelo_River_Site_3_Plain,Spartina alterniflora,NA
CRMS_Database,CRMS0658_1,Spartina patens,NA
CRMS_Database,CRMS0658_2,Spartina patens,NA
CRMS_Database,CRMS0658_3,Spartina patens,NA
CRMS_Database,CRMS0697_1,Spartina patens,NA
CRMS_Database,CRMS0697_2,Spartina patens,NA
CRMS_Database,CRMS0697_3,Spartina patens,NA
CRMS_Database,CRMS0581_1,Spartina patens,NA
CRMS_Database,CRMS0581_2,Spartina patens,NA
CRMS_Database,CRMS0581_3,Spartina patens,NA
CRMS_Database,CRMS0584_1,Spartina patens,NA
CRMS_Database,CRMS0584_2,Spartina patens,NA
CRMS_Database,CRMS0584_3,Spartina patens,NA
CRMS_Database,CRMS0587_1,Spartina patens,NA
CRMS_Database,CRMS0587_2,Spartina patens,NA
CRMS_Database,CRMS0587_3,Spartina patens,NA
CRMS_Database,CRMS0588_1,Spartina patens,NA
CRMS_Database,CRMS0588_2,Spartina patens,NA
CRMS_Database,CRMS0588_3,Spartina patens,NA
CRMS_Database,CRMS0589_1,Spartina patens,NA
CRMS_Database,CRMS0589_2,Spartina patens,NA
CRMS_Database,CRMS0589_3,Spartina patens,NA
CRMS_Database,CRMS0599_1,Mix,NA
CRMS_Database,CRMS0599_2,Mix,NA
CRMS_Database,CRMS0599_3,Mix,NA
CRMS_Database,CRMS0608_1,Spartina patens,NA
CRMS_Database,CRMS0608_2,Spartina patens,NA
CRMS_Database,CRMS0608_3,Spartina patens,NA
CRMS_Database,CRMS0610_1,Mix,NA
CRMS_Database,CRMS0610_2,Mix,NA
CRMS_Database,CRMS0610_3,Mix,NA
CRMS_Database,CRMS0614_1,Spartina patens,NA
CRMS_Database,CRMS0614_2,Spartina patens,NA
CRMS_Database,CRMS0614_3,Spartina patens,NA
CRMS_Database,CRMS0615_1,Spartina patens,NA
CRMS_Database,CRMS0615_2,Spartina patens,NA
CRMS_Database,CRMS0615_3,Spartina patens,NA
CRMS_Database,CRMS0622_1,Spartina patens,NA
CRMS_Database,CRMS0622_2,Spartina patens,NA
CRMS_Database,CRMS0622_3,Spartina patens,NA
CRMS_Database,CRMS0635_1,Spartina patens,NA
CRMS_Database,CRMS0635_2,Spartina patens,NA
CRMS_Database,CRMS0635_3,Spartina patens,NA
CRMS_Database,CRMS0638_1,Spartina patens,NA
CRMS_Database,CRMS0638_2,Spartina patens,NA
CRMS_Database,CRMS0638_3,Spartina patens,NA
CRMS_Database,CRMS0639_1,Spartina patens,NA
CRMS_Database,CRMS0639_2,Spartina patens,NA
CRMS_Database,CRMS0639_3,Spartina patens,NA
CRMS_Database,CRMS0641_1,Spartina patens,NA
CRMS_Database,CRMS0641_2,Spartina patens,NA
CRMS_Database,CRMS0641_3,Spartina patens,NA
CRMS_Database,CRMS0642_1,Spartina patens,NA
CRMS_Database,CRMS0642_2,Spartina patens,NA
CRMS_Database,CRMS0642_3,Spartina patens,NA
CRMS_Database,CRMS0644_1,Spartina patens,NA
CRMS_Database,CRMS0644_2,Spartina patens,NA
CRMS_Database,CRMS0644_3,Spartina patens,NA
CRMS_Database,CRMS0645_1,Spartina patens,NA
CRMS_Database,CRMS0645_2,Spartina patens,NA
CRMS_Database,CRMS0645_3,Spartina patens,NA
CRMS_Database,CRMS0647_1,Spartina patens,NA
CRMS_Database,CRMS0647_2,Spartina patens,NA
CRMS_Database,CRMS0647_3,Spartina patens,NA
CRMS_Database,CRMS0648_1,Spartina patens,NA
CRMS_Database,CRMS0648_2,Spartina patens,NA
CRMS_Database,CRMS0648_3,Spartina patens,NA
CRMS_Database,CRMS0650_1,Spartina patens,NA
CRMS_Database,CRMS0650_2,Spartina patens,NA
CRMS_Database,CRMS0650_3,Spartina patens,NA
CRMS_Database,CRMS0651_1,Spartina patens,NA
CRMS_Database,CRMS0651_2,Spartina patens,NA
CRMS_Database,CRMS0651_3,Spartina patens,NA
CRMS_Database,CRMS0655_1,Spartina patens,NA
CRMS_Database,CRMS0655_2,Spartina patens,NA
CRMS_Database,CRMS0655_3,Spartina patens,NA
CRMS_Database,CRMS0656_1,Spartina patens,NA
CRMS_Database,CRMS0656_2,Spartina patens,NA
CRMS_Database,CRMS0656_3,Spartina patens,NA
CRMS_Database,CRMS0660_1,Spartina patens,NA
CRMS_Database,CRMS0660_2,Spartina patens,NA
CRMS_Database,CRMS0660_3,Spartina patens,NA
CRMS_Database,CRMS0661_1,Spartina patens,NA
CRMS_Database,CRMS0661_2,Spartina patens,NA
CRMS_Database,CRMS0661_3,Spartina patens,NA
CRMS_Database,CRMS0662_1,Spartina patens,NA
CRMS_Database,CRMS0662_2,Spartina patens,NA
CRMS_Database,CRMS0662_3,Spartina patens,NA
CRMS_Database,CRMS0663_1,Spartina patens,NA
CRMS_Database,CRMS0663_2,Spartina patens,NA
CRMS_Database,CRMS0663_3,Spartina patens,NA
CRMS_Database,CRMS0665_1,Spartina patens,NA
CRMS_Database,CRMS0665_2,Spartina patens,NA
CRMS_Database,CRMS0665_3,Spartina patens,NA
CRMS_Database,CRMS0669_1,Spartina patens,NA
CRMS_Database,CRMS0669_2,Spartina patens,NA
CRMS_Database,CRMS0669_3,Spartina patens,NA
CRMS_Database,CRMS0672_1,Spartina patens,NA
CRMS_Database,CRMS0672_2,Spartina patens,NA
CRMS_Database,CRMS0672_3,Spartina patens,NA
CRMS_Database,CRMS0677_1,Mix,NA
CRMS_Database,CRMS0677_2,Mix,NA
CRMS_Database,CRMS0677_3,Mix,NA
CRMS_Database,CRMS0680_1,Mix,NA
CRMS_Database,CRMS0680_2,Mix,NA
CRMS_Database,CRMS0680_3,Mix,NA
CRMS_Database,CRMS0682_1,Spartina patens,NA
CRMS_Database,CRMS0682_2,Spartina patens,NA
CRMS_Database,CRMS0682_3,Spartina patens,NA
CRMS_Database,CRMS0683_1,Spartina patens,NA
CRMS_Database,CRMS0683_2,Spartina patens,NA
CRMS_Database,CRMS0683_3,Spartina patens,NA
CRMS_Database,CRMS0684_1,Spartina patens,NA
CRMS_Database,CRMS0684_2,Spartina patens,NA
CRMS_Database,CRMS0684_3,Spartina patens,NA
CRMS_Database,CRMS0685_1,Mix,NA
CRMS_Database,CRMS0685_2,Mix,NA
CRMS_Database,CRMS0685_3,Mix,NA
CRMS_Database,CRMS0687_1,Mix,NA
CRMS_Database,CRMS0687_2,Mix,NA
CRMS_Database,CRMS0687_3,Mix,NA
CRMS_Database,CRMS1205_1,Sagittaria lancifolia,NA
CRMS_Database,CRMS1205_2,Sagittaria lancifolia,NA
CRMS_Database,CRMS1205_3,Sagittaria lancifolia,NA
CRMS_Database,CRMS1409_1,Panicum hemitomon,NA
CRMS_Database,CRMS1409_2,Panicum hemitomon,NA
CRMS_Database,CRMS1409_3,Panicum hemitomon,NA
CRMS_Database,CRMS1738_1,Spartina patens,NA
CRMS_Database,CRMS1738_2,Spartina patens,NA
CRMS_Database,CRMS1738_3,Spartina patens,NA
CRMS_Database,CRMS1743_1,Spartina patens,NA
CRMS_Database,CRMS1743_2,Spartina patens,NA
CRMS_Database,CRMS1743_3,Spartina patens,NA
CRMS_Database,CRMS1838_1,Mix,NA
CRMS_Database,CRMS1838_2,Mix,NA
CRMS_Database,CRMS1838_3,Mix,NA
CRMS_Database,CRMS1858_1,Mix,NA
CRMS_Database,CRMS1858_2,Mix,NA
CRMS_Database,CRMS1858_3,Mix,NA
CRMS_Database,CRMS2154_1,Spartina patens,NA
CRMS_Database,CRMS2154_2,Spartina patens,NA
CRMS_Database,CRMS2154_3,Spartina patens,NA
CRMS_Database,CRMS2156_1,Spartina patens,NA
CRMS_Database,CRMS2156_2,Spartina patens,NA
CRMS_Database,CRMS2156_3,Spartina patens,NA
CRMS_Database,CRMS2166_1,Spartina patens,NA
CRMS_Database,CRMS2166_2,Spartina patens,NA
CRMS_Database,CRMS2166_3,Spartina patens,NA
CRMS_Database,CRMS2189_1,Spartina patens,NA
CRMS_Database,CRMS2189_2,Spartina patens,NA
CRMS_Database,CRMS2189_3,Spartina patens,NA
CRMS_Database,CRMS2219_1,Spartina patens,NA
CRMS_Database,CRMS2219_2,Spartina patens,NA
CRMS_Database,CRMS2219_3,Spartina patens,NA
CRMS_Database,CRMS2334_1,Spartina patens,NA
CRMS_Database,CRMS2334_2,Spartina patens,NA
CRMS_Database,CRMS2334_3,Spartina patens,NA
CRMS_Database,CRMS2418_1,Spartina patens,NA
CRMS_Database,CRMS2418_2,Spartina patens,NA
CRMS_Database,CRMS2418_3,Spartina patens,NA
CRMS_Database,CRMS6301_1,Spartina patens,NA
CRMS_Database,CRMS6301_2,Spartina patens,NA
CRMS_Database,CRMS6301_3,Spartina patens,NA
CRMS_Database,CRMS0498_1,Spartina patens,NA
CRMS_Database,CRMS0498_2,Spartina patens,NA
CRMS_Database,CRMS0498_3,Spartina patens,NA
CRMS_Database,CRMS0499_1,Spartina patens,NA
CRMS_Database,CRMS0499_2,Spartina patens,NA
CRMS_Database,CRMS0499_3,Spartina patens,NA
CRMS_Database,CRMS0504_1,Spartina patens,NA
CRMS_Database,CRMS0504_2,Spartina patens,NA
CRMS_Database,CRMS0504_3,Spartina patens,NA
CRMS_Database,CRMS0511_1,Mix,NA
CRMS_Database,CRMS0511_2,Mix,NA
CRMS_Database,CRMS0511_3,Mix,NA
CRMS_Database,CRMS0514_1,Spartina patens,NA
CRMS_Database,CRMS0514_2,Spartina patens,NA
CRMS_Database,CRMS0514_3,Spartina patens,NA
CRMS_Database,CRMS0520_1,Spartina patens,NA
CRMS_Database,CRMS0520_2,Spartina patens,NA
CRMS_Database,CRMS0520_3,Spartina patens,NA
CRMS_Database,CRMS0522_1,Spartina patens,NA
CRMS_Database,CRMS0522_2,Spartina patens,NA
CRMS_Database,CRMS0522_3,Spartina patens,NA
CRMS_Database,CRMS0523_1,Spartina patens,NA
CRMS_Database,CRMS0523_2,Spartina patens,NA
CRMS_Database,CRMS0523_3,Spartina patens,NA
CRMS_Database,CRMS0524_1,Spartina patens,NA
CRMS_Database,CRMS0524_2,Spartina patens,NA
CRMS_Database,CRMS0524_3,Spartina patens,NA
CRMS_Database,CRMS0529_1,Spartina patens,NA
CRMS_Database,CRMS0529_2,Spartina patens,NA
CRMS_Database,CRMS0529_3,Spartina patens,NA
CRMS_Database,CRMS0530_1,Spartina patens,NA
CRMS_Database,CRMS0530_2,Spartina patens,NA
CRMS_Database,CRMS0530_3,Spartina patens,NA
CRMS_Database,CRMS0531_1,Spartina patens,NA
CRMS_Database,CRMS0531_2,Spartina patens,NA
CRMS_Database,CRMS0531_3,Spartina patens,NA
CRMS_Database,CRMS0532_1,Spartina patens,NA
CRMS_Database,CRMS0532_2,Spartina patens,NA
CRMS_Database,CRMS0532_3,Spartina patens,NA
CRMS_Database,CRMS0549_1,Spartina patens,NA
CRMS_Database,CRMS0549_2,Spartina patens,NA
CRMS_Database,CRMS0549_3,Spartina patens,NA
CRMS_Database,CRMS0220_1,Spartina patens,NA
CRMS_Database,CRMS0220_2,Spartina patens,NA
CRMS_Database,CRMS0220_3,Spartina patens,NA
CRMS_Database,CRMS0225_1,Spartina patens,NA
CRMS_Database,CRMS0225_2,Spartina patens,NA
CRMS_Database,CRMS0225_3,Spartina patens,NA
CRMS_Database,CRMS0232_1,Spartina alterniflora,NA
CRMS_Database,CRMS0232_2,Spartina alterniflora,NA
CRMS_Database,CRMS0232_3,Spartina alterniflora,NA
CRMS_Database,CRMS0248_1,Spartina patens,NA
CRMS_Database,CRMS0248_2,Spartina patens,NA
CRMS_Database,CRMS0248_3,Spartina patens,NA
CRMS_Database,CRMS0251_1,Spartina patens,NA
CRMS_Database,CRMS0251_2,Spartina patens,NA
CRMS_Database,CRMS0251_3,Spartina patens,NA
CRMS_Database,CRMS0253_1,Spartina patens,NA
CRMS_Database,CRMS0253_2,Spartina patens,NA
CRMS_Database,CRMS0253_3,Spartina patens,NA
CRMS_Database,CRMS0261_1,Spartina patens,NA
CRMS_Database,CRMS0261_2,Spartina patens,NA
CRMS_Database,CRMS0261_3,Spartina patens,NA
CRMS_Database,CRMS3565_1,Spartina patens,NA
CRMS_Database,CRMS3565_2,Spartina patens,NA
CRMS_Database,CRMS3565_3,Spartina patens,NA
CRMS_Database,CRMS3985_1,Sagittaria lancifolia,NA
CRMS_Database,CRMS3985_2,Sagittaria lancifolia,NA
CRMS_Database,CRMS3985_3,Sagittaria lancifolia,NA
CRMS_Database,CRMS4103_1,Eleocharis palustris,NA
CRMS_Database,CRMS4103_2,Eleocharis palustris,NA
CRMS_Database,CRMS4103_3,Eleocharis palustris,NA
CRMS_Database,CRMS4218_1,Spartina patens,NA
CRMS_Database,CRMS4218_2,Spartina patens,NA
CRMS_Database,CRMS4218_3,Spartina patens,NA
CRMS_Database,CRMS4245_1,Spartina patens,NA
CRMS_Database,CRMS4245_2,Spartina patens,NA
CRMS_Database,CRMS4245_3,Spartina patens,NA
CRMS_Database,CRMS4690_1,Spartina patens,NA
CRMS_Database,CRMS4690_2,Spartina patens,NA
CRMS_Database,CRMS4690_3,Spartina patens,NA
CRMS_Database,CRMS0164_1,Spartina alterniflora,NA
CRMS_Database,CRMS0164_2,Spartina alterniflora,NA
CRMS_Database,CRMS0164_3,Spartina alterniflora,NA
CRMS_Database,CRMS0175_1,Spartina alterniflora,NA
CRMS_Database,CRMS0175_2,Spartina alterniflora,NA
CRMS_Database,CRMS0175_3,Spartina alterniflora,NA
CRMS_Database,CRMS0178_1,Spartina alterniflora,NA
CRMS_Database,CRMS0178_2,Spartina alterniflora,NA
CRMS_Database,CRMS0178_3,Spartina alterniflora,NA
CRMS_Database,CRMS0190_1,Eleocharis palustris,NA
CRMS_Database,CRMS0190_2,Eleocharis palustris,NA
CRMS_Database,CRMS0190_3,Eleocharis palustris,NA
CRMS_Database,CRMS0292_1,Spartina alterniflora,NA
CRMS_Database,CRMS0292_2,Spartina alterniflora,NA
CRMS_Database,CRMS0292_3,Spartina alterniflora,NA
CRMS_Database,CRMS0310_1,Spartina alterniflora,NA
CRMS_Database,CRMS0310_2,Spartina alterniflora,NA
CRMS_Database,CRMS0310_3,Spartina alterniflora,NA
CRMS_Database,CRMS0312_1,Eleocharis palustris,NA
CRMS_Database,CRMS0312_2,Eleocharis palustris,NA
CRMS_Database,CRMS0312_3,Eleocharis palustris,NA
CRMS_Database,CRMS0318_1,Spartina alterniflora,NA
CRMS_Database,CRMS0318_2,Spartina alterniflora,NA
CRMS_Database,CRMS0318_3,Spartina alterniflora,NA
CRMS_Database,CRMS0319_1,Spartina alterniflora,NA
CRMS_Database,CRMS0319_2,Spartina alterniflora,NA
CRMS_Database,CRMS0319_3,Spartina alterniflora,NA
CRMS_Database,CRMS0335_1,Spartina alterniflora,NA
CRMS_Database,CRMS0335_2,Spartina alterniflora,NA
CRMS_Database,CRMS0335_3,Spartina alterniflora,NA
CRMS_Database,CRMS0337_1,Spartina alterniflora,NA
CRMS_Database,CRMS0337_2,Spartina alterniflora,NA
CRMS_Database,CRMS0337_3,Spartina alterniflora,NA
CRMS_Database,CRMS0386_1,Spartina patens,NA
CRMS_Database,CRMS0386_2,Spartina patens,NA
CRMS_Database,CRMS0386_3,Spartina patens,NA
CRMS_Database,CRMS0387_1,Spartina patens,NA
CRMS_Database,CRMS0387_2,Spartina patens,NA
CRMS_Database,CRMS0387_3,Spartina patens,NA
CRMS_Database,CRMS0397_1,Spartina patens,NA
CRMS_Database,CRMS0397_2,Spartina patens,NA
CRMS_Database,CRMS0397_3,Spartina patens,NA
CRMS_Database,CRMS0400_1,Eleocharis palustris,NA
CRMS_Database,CRMS0400_2,Eleocharis palustris,NA
CRMS_Database,CRMS0400_3,Eleocharis palustris,NA
CRMS_Database,CRMS0416_1,Sagittaria lancifolia,NA
CRMS_Database,CRMS0416_2,Sagittaria lancifolia,NA
CRMS_Database,CRMS0416_3,Sagittaria lancifolia,NA
CRMS_Database,CRMS0978_1,Spartina alterniflora,NA
CRMS_Database,CRMS0978_2,Spartina alterniflora,NA
CRMS_Database,CRMS0978_3,Spartina alterniflora,NA
CRMS_Database,CRMS2825_1,Sagittaria lancifolia,NA
CRMS_Database,CRMS2825_2,Sagittaria lancifolia,NA
CRMS_Database,CRMS2825_3,Sagittaria lancifolia,NA
CRMS_Database,CRMS6303_1,Spartina patens,NA
CRMS_Database,CRMS6303_2,Spartina patens,NA
CRMS_Database,CRMS6303_3,Spartina patens,NA
CRMS_Database,CRMS0002_1,Spartina patens,NA
CRMS_Database,CRMS0002_2,Spartina patens,NA
CRMS_Database,CRMS0002_3,Spartina patens,NA
CRMS_Database,CRMS3626_1,Spartina patens,NA
CRMS_Database,CRMS3626_2,Spartina patens,NA
CRMS_Database,CRMS3626_3,Spartina patens,NA
CRMS_Database,CRMS3650_1,Spartina patens,NA
CRMS_Database,CRMS3650_2,Spartina patens,NA
CRMS_Database,CRMS3650_3,Spartina patens,NA
CRMS_Database,CRMS3784_1,Spartina patens,NA
CRMS_Database,CRMS3784_2,Spartina patens,NA
CRMS_Database,CRMS3784_3,Spartina patens,NA
CRMS_Database,CRMS4107_1,Eleocharis palustris,NA
CRMS_Database,CRMS4107_2,Eleocharis palustris,NA
CRMS_Database,CRMS4107_3,Eleocharis palustris,NA
CRMS_Database,CRMS0114_1,Spartina patens,NA
CRMS_Database,CRMS0114_2,Spartina patens,NA
CRMS_Database,CRMS0114_3,Spartina patens,NA
CRMS_Database,CRMS0115_1,Spartina patens,NA
CRMS_Database,CRMS0115_2,Spartina patens,NA
CRMS_Database,CRMS0115_3,Spartina patens,NA
CRMS_Database,CRMS0117_1,Spartina patens,NA
CRMS_Database,CRMS0117_2,Spartina patens,NA
CRMS_Database,CRMS0117_3,Spartina patens,NA
CRMS_Database,CRMS0118_1,Spartina patens,NA
CRMS_Database,CRMS0118_2,Spartina patens,NA
CRMS_Database,CRMS0118_3,Spartina patens,NA
CRMS_Database,CRMS0119_1,Spartina patens,NA
CRMS_Database,CRMS0119_2,Spartina patens,NA
CRMS_Database,CRMS0119_3,Spartina patens,NA
CRMS_Database,CRMS0121_1,Spartina patens,NA
CRMS_Database,CRMS0121_2,Spartina patens,NA
CRMS_Database,CRMS0121_3,Spartina patens,NA
CRMS_Database,CRMS0125_1,Spartina patens,NA
CRMS_Database,CRMS0125_2,Spartina patens,NA
CRMS_Database,CRMS0125_3,Spartina patens,NA
CRMS_Database,CRMS0128_1,Spartina patens,NA
CRMS_Database,CRMS0128_2,Spartina patens,NA
CRMS_Database,CRMS0128_3,Spartina patens,NA
CRMS_Database,CRMS0129_1,Spartina alterniflora,NA
CRMS_Database,CRMS0129_2,Spartina alterniflora,NA
CRMS_Database,CRMS0129_3,Spartina alterniflora,NA
CRMS_Database,CRMS0131_1,Spartina patens,NA
CRMS_Database,CRMS0131_2,Spartina patens,NA
CRMS_Database,CRMS0131_3,Spartina patens,NA
CRMS_Database,CRMS0132_1,Spartina patens,NA
CRMS_Database,CRMS0132_2,Spartina patens,NA
CRMS_Database,CRMS0132_3,Spartina patens,NA
CRMS_Database,CRMS0135_1,Spartina patens,NA
CRMS_Database,CRMS0135_2,Spartina patens,NA
CRMS_Database,CRMS0135_3,Spartina patens,NA
CRMS_Database,CRMS0136_1,Spartina patens,NA
CRMS_Database,CRMS0136_2,Spartina patens,NA
CRMS_Database,CRMS0136_3,Spartina patens,NA
CRMS_Database,CRMS0139_1,Spartina alterniflora,NA
CRMS_Database,CRMS0139_2,Spartina alterniflora,NA
CRMS_Database,CRMS0139_3,Spartina alterniflora,NA
CRMS_Database,CRMS0146_1,Spartina patens,NA
CRMS_Database,CRMS0146_2,Spartina patens,NA
CRMS_Database,CRMS0146_3,Spartina patens,NA
CRMS_Database,CRMS0147_1,Mix,NA
CRMS_Database,CRMS0147_2,Mix,NA
CRMS_Database,CRMS0147_3,Mix,NA
CRMS_Database,CRMS0148_1,Spartina patens,NA
CRMS_Database,CRMS0148_2,Spartina patens,NA
CRMS_Database,CRMS0148_3,Spartina patens,NA
CRMS_Database,CRMS0154_1,Mix,NA
CRMS_Database,CRMS0154_2,Mix,NA
CRMS_Database,CRMS0154_3,Mix,NA
CRMS_Database,CRMS0156_1,Mix,NA
CRMS_Database,CRMS0156_2,Mix,NA
CRMS_Database,CRMS0156_3,Mix,NA
CRMS_Database,CRMS0157_1,Phragmites australis,NA
CRMS_Database,CRMS0157_2,Phragmites australis,NA
CRMS_Database,CRMS0157_3,Phragmites australis,NA
CRMS_Database,CRMS0159_1,Phragmites australis,NA
CRMS_Database,CRMS0159_2,Phragmites australis,NA
CRMS_Database,CRMS0159_3,Phragmites australis,NA
CRMS_Database,CRMS0161_1,Phragmites australis,NA
CRMS_Database,CRMS0161_2,Phragmites australis,NA
CRMS_Database,CRMS0161_3,Phragmites australis,NA
CRMS_Database,CRMS0162_1,Phragmites australis,NA
CRMS_Database,CRMS0162_2,Phragmites australis,NA
CRMS_Database,CRMS0162_3,Phragmites australis,NA
CRMS_Database,CRMS0163_1,Sagittaria lancifolia,NA
CRMS_Database,CRMS0163_2,Sagittaria lancifolia,NA
CRMS_Database,CRMS0163_3,Sagittaria lancifolia,NA
CRMS_Database,CRMS0171_1,Spartina alterniflora,NA
CRMS_Database,CRMS0171_2,Spartina alterniflora,NA
CRMS_Database,CRMS0171_3,Spartina alterniflora,NA
CRMS_Database,CRMS0172_1,Spartina alterniflora,NA
CRMS_Database,CRMS0172_2,Spartina alterniflora,NA
CRMS_Database,CRMS0172_3,Spartina alterniflora,NA
CRMS_Database,CRMS0173_1,Spartina alterniflora,NA
CRMS_Database,CRMS0173_2,Spartina alterniflora,NA
CRMS_Database,CRMS0173_3,Spartina alterniflora,NA
CRMS_Database,CRMS0174_1,Spartina alterniflora,NA
CRMS_Database,CRMS0174_2,Spartina alterniflora,NA
CRMS_Database,CRMS0174_3,Spartina alterniflora,NA
CRMS_Database,CRMS0176_1,Spartina alterniflora,NA
CRMS_Database,CRMS0176_2,Spartina alterniflora,NA
CRMS_Database,CRMS0176_3,Spartina alterniflora,NA
CRMS_Database,CRMS0179_1,Spartina alterniflora,NA
CRMS_Database,CRMS0179_2,Spartina alterniflora,NA
CRMS_Database,CRMS0179_3,Spartina alterniflora,NA
CRMS_Database,CRMS0181_1,Spartina alterniflora,NA
CRMS_Database,CRMS0181_2,Spartina alterniflora,NA
CRMS_Database,CRMS0181_3,Spartina alterniflora,NA
CRMS_Database,CRMS0209_1,Spartina patens,NA
CRMS_Database,CRMS0209_2,Spartina patens,NA
CRMS_Database,CRMS0209_3,Spartina patens,NA
CRMS_Database,CRMS0224_1,Spartina patens,NA
CRMS_Database,CRMS0224_2,Spartina patens,NA
CRMS_Database,CRMS0224_3,Spartina patens,NA
CRMS_Database,CRMS0226_1,Spartina patens,NA
CRMS_Database,CRMS0226_2,Spartina patens,NA
CRMS_Database,CRMS0226_3,Spartina patens,NA
CRMS_Database,CRMS0237_1,Spartina alterniflora,NA
CRMS_Database,CRMS0237_2,Spartina alterniflora,NA
CRMS_Database,CRMS0237_3,Spartina alterniflora,NA
CRMS_Database,CRMS0258_1,Spartina patens,NA
CRMS_Database,CRMS0258_2,Spartina patens,NA
CRMS_Database,CRMS0258_3,Spartina patens,NA
CRMS_Database,CRMS0260_1,Spartina patens,NA
CRMS_Database,CRMS0260_2,Spartina patens,NA
CRMS_Database,CRMS0260_3,Spartina patens,NA
CRMS_Database,CRMS0263_1,Spartina patens,NA
CRMS_Database,CRMS0263_2,Spartina patens,NA
CRMS_Database,CRMS0263_3,Spartina patens,NA
CRMS_Database,CRMS0272_1,Mix,NA
CRMS_Database,CRMS0272_2,Mix,NA
CRMS_Database,CRMS0272_3,Mix,NA
CRMS_Database,CRMS0276_1,Spartina patens,NA
CRMS_Database,CRMS0276_2,Spartina patens,NA
CRMS_Database,CRMS0276_3,Spartina patens,NA
CRMS_Database,CRMS0282_1,Spartina patens,NA
CRMS_Database,CRMS0282_2,Spartina patens,NA
CRMS_Database,CRMS0282_3,Spartina patens,NA
CRMS_Database,CRMS0287_1,Sagittaria lancifolia,NA
CRMS_Database,CRMS0287_2,Sagittaria lancifolia,NA
CRMS_Database,CRMS0287_3,Sagittaria lancifolia,NA
CRMS_Database,CRMS2608_1,Mix,NA
CRMS_Database,CRMS2608_2,Mix,NA
CRMS_Database,CRMS2608_3,Mix,NA
CRMS_Database,CRMS2614_1,Mix,NA
CRMS_Database,CRMS2614_2,Mix,NA
CRMS_Database,CRMS2614_3,Mix,NA
CRMS_Database,CRMS2627_1,Mix,NA
CRMS_Database,CRMS2627_2,Mix,NA
CRMS_Database,CRMS2627_3,Mix,NA
CRMS_Database,CRMS2634_1,Mix,NA
CRMS_Database,CRMS2634_2,Mix,NA
CRMS_Database,CRMS2634_3,Mix,NA
CRMS_Database,CRMS3601_1,Spartina patens,NA
CRMS_Database,CRMS3601_2,Spartina patens,NA
CRMS_Database,CRMS3601_3,Spartina patens,NA
CRMS_Database,CRMS3617_1,Spartina patens,NA
CRMS_Database,CRMS3617_2,Spartina patens,NA
CRMS_Database,CRMS3617_3,Spartina patens,NA
CRMS_Database,CRMS3680_1,Spartina patens,NA
CRMS_Database,CRMS3680_2,Spartina patens,NA
CRMS_Database,CRMS3680_3,Spartina patens,NA
CRMS_Database,CRMS4448_1,Mix,NA
CRMS_Database,CRMS4448_2,Mix,NA
CRMS_Database,CRMS4448_3,Mix,NA
CRMS_Database,CRMS4529_1,Spartina alterniflora,NA
CRMS_Database,CRMS4529_2,Spartina alterniflora,NA
CRMS_Database,CRMS4529_3,Spartina alterniflora,NA
CRMS_Database,CRMS4626_1,Spartina alterniflora,NA
CRMS_Database,CRMS4626_2,Spartina alterniflora,NA
CRMS_Database,CRMS4626_3,Spartina alterniflora,NA
CRMS_Database,CRMS0003_1,Spartina alterniflora,NA
CRMS_Database,CRMS0003_2,Spartina alterniflora,NA
CRMS_Database,CRMS0003_3,Spartina alterniflora,NA
CRMS_Database,CRMS0108_1,Spartina alterniflora,NA
CRMS_Database,CRMS0108_2,Spartina alterniflora,NA
