study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,cs137_activity,cs137_unit,excess_pb210_activity,total_pb210_activity,pb210_unit
Craft_2024,Alt,Alt_L1,single set of methods,0,2,0.3899088531141327,0.12921,0.5039001124178463,picocuriesPerGram,5.959421178598364,9.308718806594763,disintegrationsPerMinutePerGram
Craft_2024,Alt,Alt_L1,single set of methods,2,4,0.2984256884572552,0.1152,0.612221,picocuriesPerGram,5.9130363720036,9.262334,disintegrationsPerMinutePerGram
Craft_2024,Alt,Alt_L1,single set of methods,4,6,0.3624936049204965,0.09981,0.6424161291543635,picocuriesPerGram,5.712043808738072,9.061341436734471,disintegrationsPerMinutePerGram
Craft_2024,Alt,Alt_L1,single set of methods,6,8,0.35372268711952615,0.07674,0.6883095267846475,picocuriesPerGram,4.700513555857144,8.049811183853544,disintegrationsPerMinutePerGram
Craft_2024,Alt,Alt_L1,single set of methods,8,10,0.23418554071428055,0.11241,0.7290055602694091,picocuriesPerGram,5.150540731183464,8.499838359179863,disintegrationsPerMinutePerGram
Craft_2024,Alt,Alt_L1,single set of methods,10,12,0.23782875848952068,0.12452,0.7247404102714646,picocuriesPerGram,4.015160735906518,7.364458363902918,disintegrationsPerMinutePerGram
Craft_2024,Alt,Alt_L1,single set of methods,12,14,0.330203145035786,0.1029,0.30022340825289573,picocuriesPerGram,1.5668948533286744,4.916192481325075,disintegrationsPerMinutePerGram
Craft_2024,Alt,Alt_L1,single set of methods,14,16,0.26632294286039454,0.08558,0.241041,picocuriesPerGram,1.2386743720035995,4.587972,disintegrationsPerMinutePerGram
Craft_2024,Alt,Alt_L1,single set of methods,16,18,0.3742419096304273,0.05497,0.05088981965835696,picocuriesPerGram,0.952394500738372,4.301692128734772,disintegrationsPerMinutePerGram
Craft_2024,Alt,Alt_L1,single set of methods,18,20,0.30365381739861286,0.05289,0,picocuriesPerGram,NA,0,disintegrationsPerMinutePerGram
Craft_2024,Alt,Alt_L1,single set of methods,20,22,0.7138996849374466,0.05447,0,picocuriesPerGram,NA,2.81848621655026,disintegrationsPerMinutePerGram
Craft_2024,Alt,Alt_L1,single set of methods,22,24,0.4695562912570253,0.0653,0,picocuriesPerGram,NA,0,disintegrationsPerMinutePerGram
Craft_2024,Alt,Alt_L1,single set of methods,24,26,0.4806676216992679,0.06963,0,picocuriesPerGram,NA,3.918991974340664,disintegrationsPerMinutePerGram
Craft_2024,Alt,Alt_L1,single set of methods,26,28,0.5424105032727629,0.08362,0,picocuriesPerGram,NA,0,disintegrationsPerMinutePerGram
Craft_2024,Alt,Alt_L1,single set of methods,28,30,0.4693440166038714,0.08358,0,picocuriesPerGram,NA,3.1197216929288816,disintegrationsPerMinutePerGram
Craft_2024,Alt,Alt_L1,single set of methods,30,35,0.4043757335680751,0.08767,0,picocuriesPerGram,NA,0,disintegrationsPerMinutePerGram
